"ONT_Barcode"	"HW_address"	"Payload1"	"Payload2"	"Payload3"	"Payload4"	"Payload5"	"Payload6"	"Payload7"	"Payload8"
"15"	"barcode_external07_internal05"	"[0,0,4,5]"	"[0,2,5,7]"	"[0,0,0,3]"	"[0,0,0,0]"	"[0,0,0,6]"	"[0,1,4,5]"	"[0,0,0,5]"	"[0,0,0,3]"
"15"	"barcode_external08_internal05"	"[0,0,2,8]"	"[0,0,0,5]"	"[0,0,4,7]"	"[0,0,2,7]"	"[0,1,2,4]"	"[0,0,1,6]"	"[0,0,0,1]"	"[0,0,0,3]"
"15"	"barcode_external01_internal06"	"[0,2,4,5]"	"[0,5,7,8]"	"[0,0,1,4]"	"[0,1,3,7]"	"[0,3,5,8]"	"[0,0,0,1]"	"[0,0,0,5]"	"[0,0,3,4]"
"15"	"barcode_external02_internal06"	"[0,0,0,1]"	"[0,2,5,7]"	"[0,0,6,7]"	"[0,5,6,7]"	"[0,0,5,8]"	"[0,0,2,7]"	"[0,0,0,6]"	"[0,3,4,7]"
"15"	"barcode_external03_internal06"	"[0,0,3,8]"	"[0,0,1,8]"	"[0,0,0,2]"	"[0,0,0,0]"	"[0,3,5,6]"	"[0,0,0,4]"	"[0,0,0,0]"	"[0,0,0,0]"
"15"	"barcode_external04_internal06"	"[0,0,0,2]"	"[0,0,6,8]"	"[0,1,5,6]"	"[0,0,0,8]"	"[0,2,3,8]"	"[0,0,0,8]"	"[0,0,0,4]"	"[0,0,4,7]"
"15"	"barcode_external05_internal06"	"[0,1,4,5]"	"[0,0,2,7]"	"[0,4,6,7]"	"[0,0,0,2]"	"[0,3,6,7]"	"[0,0,0,8]"	"[0,0,4,8]"	"[0,0,2,3]"
"15"	"barcode_external06_internal06"	"[0,0,1,5]"	"[0,0,0,6]"	"[0,0,0,4]"	"[0,0,0,0]"	"[0,0,0,8]"	"[0,0,1,2]"	"[0,0,3,6]"	"[0,0,0,7]"
"15"	"barcode_external07_internal06"	"[0,0,0,6]"	"[0,0,0,2]"	"[0,0,5,6]"	"[0,0,0,4]"	"[0,0,0,2]"	"[0,0,0,5]"	"[0,0,0,1]"	"[0,0,0,0]"
"15"	"barcode_external08_internal06"	"[0,0,0,7]"	"[0,0,2,7]"	"[0,0,1,7]"	"[0,0,0,0]"	"[0,0,0,2]"	"[0,0,0,0]"	"[0,0,0,6]"	"[0,0,0,5]"
"15"	"barcode_external01_internal07"	"[0,0,0,5]"	"[0,0,0,5]"	"[0,0,0,3]"	"[0,1,2,8]"	"[0,0,4,7]"	"[0,0,1,5]"	"[0,2,3,7]"	"[0,0,5,6]"
"15"	"barcode_external02_internal07"	"[0,0,0,0]"	"[0,0,0,7]"	"[0,0,0,0]"	"[0,0,0,3]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,7]"	"[0,0,0,7]"
"15"	"barcode_external03_internal07"	"[0,0,5,8]"	"[0,0,1,6]"	"[0,0,2,6]"	"[0,0,2,4]"	"[0,0,3,6]"	"[0,1,2,7]"	"[0,2,5,7]"	"[0,0,0,2]"
"15"	"barcode_external04_internal07"	"[0,0,0,2]"	"[0,0,0,0]"	"[0,4,5,8]"	"[0,0,0,1]"	"[0,0,0,8]"	"[0,0,0,2]"	"[0,0,0,2]"	"[0,0,1,7]"
"15"	"barcode_external05_internal07"	"[0,1,2,5]"	"[0,0,0,6]"	"[0,3,4,8]"	"[0,0,0,0]"	"[0,1,3,5]"	"[0,0,0,4]"	"[0,0,5,7]"	"[0,0,0,2]"
"15"	"barcode_external06_internal07"	"[0,2,4,7]"	"[0,0,2,6]"	"[0,0,0,5]"	"[0,0,0,3]"	"[1,2,5,6]"	"[0,0,0,0]"	"[0,3,4,7]"	"[0,3,5,7]"
"15"	"barcode_external07_internal07"	"[0,1,6,8]"	"[0,0,3,6]"	"[0,0,1,3]"	"[0,0,0,3]"	"[0,0,0,2]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,7]"
"15"	"barcode_external08_internal07"	"[0,1,3,4]"	"[0,0,2,8]"	"[0,0,0,7]"	"[0,0,0,3]"	"[0,0,0,8]"	"[0,0,3,4]"	"[0,0,0,5]"	"[0,0,2,5]"
"15"	"barcode_external01_internal08"	"[0,1,4,5]"	"[0,0,0,7]"	"[0,0,5,7]"	"[0,0,3,6]"	"[0,0,3,4]"	"[0,0,0,0]"	"[0,0,0,7]"	"[0,0,0,5]"
"15"	"barcode_external02_internal08"	"[1,2,6,7]"	"[2,4,5,6]"	"[3,5,6,7]"	"[0,2,3,4]"	"[0,0,0,5]"	"[0,0,0,8]"	"[0,0,0,4]"	"[0,0,2,7]"
"15"	"barcode_external03_internal08"	"[0,0,0,6]"	"[0,0,0,1]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,7]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"15"	"barcode_external04_internal08"	"[0,0,2,5]"	"[0,0,0,1]"	"[0,0,0,8]"	"[0,0,0,5]"	"[0,0,5,6]"	"[0,0,3,8]"	"[0,0,0,1]"	"[0,0,0,0]"
