"ONT_Barcode"	"HW_address"	"Payload1"	"Payload2"	"Payload3"	"Payload4"	"Payload5"	"Payload6"	"Payload7"	"Payload8"
"2"	"barcode_external04_internal04"	"[0,2,4,8]"	"[0,3,4,5]"	"[0,5,7,8]"	"[1,2,5,8]"	"[4,5,6,7]"	"[0,0,1,5]"	"[0,0,3,8]"	"[3,4,5,6]"
"2"	"barcode_external05_internal04"	"[3,4,6,8]"	"[0,3,4,8]"	"[1,3,4,5]"	"[2,3,4,6]"	"[3,5,6,8]"	"[0,1,5,8]"	"[1,2,5,8]"	"[0,0,0,7]"
"2"	"barcode_external06_internal04"	"[0,0,4,6]"	"[1,3,4,5]"	"[0,0,0,0]"	"[0,0,1,2]"	"[0,4,6,7]"	"[0,0,0,2]"	"[0,0,5,6]"	"[0,0,0,2]"
"2"	"barcode_external07_internal04"	"[1,3,5,8]"	"[2,6,7,8]"	"[2,3,6,8]"	"[1,3,7,8]"	"[0,5,6,8]"	"[0,0,4,7]"	"[0,5,7,8]"	"[2,5,7,8]"
"2"	"barcode_external08_internal04"	"[2,4,5,6]"	"[1,2,4,7]"	"[0,3,4,5]"	"[1,2,4,5]"	"[0,0,3,7]"	"[0,1,2,4]"	"[3,4,5,6]"	"[0,3,5,8]"
"2"	"barcode_external01_internal05"	"[1,3,4,6]"	"[0,2,5,6]"	"[0,2,5,8]"	"[0,2,3,4]"	"[0,0,5,6]"	"[0,0,0,5]"	"[0,0,3,5]"	"[2,4,7,8]"
"2"	"barcode_external02_internal05"	"[0,5,6,8]"	"[0,0,2,3]"	"[4,5,6,8]"	"[0,0,5,6]"	"[0,0,0,0]"	"[0,0,0,2]"	"[0,0,4,7]"	"[0,0,0,1]"
"2"	"barcode_external03_internal05"	"[0,3,4,6]"	"[0,0,5,6]"	"[0,1,3,7]"	"[2,3,7,8]"	"[0,0,3,7]"	"[0,0,0,1]"	"[0,0,1,4]"	"[0,6,7,8]"
"2"	"barcode_external04_internal05"	"[2,3,4,8]"	"[2,3,5,8]"	"[1,4,5,7]"	"[1,4,6,7]"	"[0,1,5,7]"	"[2,4,5,6]"	"[1,4,6,7]"	"[2,5,6,8]"
"2"	"barcode_external05_internal05"	"[3,4,5,7]"	"[5,6,7,8]"	"[2,3,5,7]"	"[0,3,4,8]"	"[0,1,6,8]"	"[0,0,4,6]"	"[0,0,1,5]"	"[0,1,4,8]"
"2"	"barcode_external06_internal05"	"[0,2,7,8]"	"[1,3,5,6]"	"[0,2,4,5]"	"[0,0,2,8]"	"[0,1,2,7]"	"[0,4,6,7]"	"[0,1,3,4]"	"[0,0,1,7]"
"2"	"barcode_external07_internal05"	"[2,5,7,8]"	"[1,2,5,7]"	"[1,5,6,8]"	"[0,2,4,6]"	"[3,5,7,8]"	"[0,4,5,8]"	"[0,0,2,8]"	"[3,4,6,7]"
"2"	"barcode_external08_internal05"	"[2,4,5,6]"	"[0,0,2,6]"	"[0,2,3,4]"	"[0,5,6,7]"	"[0,1,3,4]"	"[1,2,3,5]"	"[1,3,4,8]"	"[0,4,5,7]"
"2"	"barcode_external01_internal06"	"[2,4,5,8]"	"[2,3,4,6]"	"[2,5,6,8]"	"[0,0,4,8]"	"[1,2,4,7]"	"[0,0,0,3]"	"[0,5,6,7]"	"[0,0,2,4]"
"2"	"barcode_external02_internal06"	"[0,0,1,8]"	"[0,5,6,8]"	"[0,1,4,5]"	"[0,0,0,7]"	"[0,0,0,4]"	"[0,1,2,6]"	"[0,0,2,7]"	"[0,0,0,8]"
"2"	"barcode_external03_internal06"	"[1,3,4,6]"	"[0,1,3,6]"	"[0,3,4,7]"	"[0,1,4,5]"	"[0,0,2,7]"	"[0,4,5,6]"	"[0,0,2,8]"	"[0,0,1,2]"
"2"	"barcode_external04_internal06"	"[3,4,6,7]"	"[1,5,6,7]"	"[0,3,7,8]"	"[1,2,3,4]"	"[2,4,7,8]"	"[0,0,6,8]"	"[0,3,4,8]"	"[0,1,4,6]"
"2"	"barcode_external05_internal06"	"[1,2,3,7]"	"[1,4,7,8]"	"[1,2,5,8]"	"[1,2,4,6]"	"[2,4,5,8]"	"[0,3,5,8]"	"[0,4,5,7]"	"[0,0,5,8]"
