"ONT_Barcode"	"HW_Address"	"Payload1"	"Payload2"	"Payload3"	"Payload4"	"Payload5"	"Payload6"	"Payload7"	"Payload8"
6	"barcode_external05_internal02"	"[1, 2, 3, 6]"	"[4, 6, 7, 8]"	"[1, 5, 7, 8]"	"[1, 4, 5, 8]"	"[1, 4, 5, 8]"	"[5, 6, 7, 8]"	"[1, 4, 5, 6]"	"[1, 2, 6, 8]"
6	"barcode_external06_internal02"	"[1, 5, 6, 8]"	"[1, 2, 4, 6]"	"[2, 3, 4, 7]"	"[2, 3, 7, 8]"	"[1, 2, 5, 7]"	"[2, 4, 6, 8]"	"[2, 4, 6, 7]"	"[1, 2, 3, 7]"
6	"barcode_external07_internal02"	"[2, 3, 4, 6]"	"[4, 5, 6, 8]"	"[1, 4, 6, 7]"	"[1, 2, 3, 5]"	"[1, 3, 4, 8]"	"[3, 4, 5, 7]"	"[1, 2, 4, 5]"	"[2, 3, 4, 8]"
6	"barcode_external08_internal02"	"[4, 5, 6, 7]"	"[1, 2, 5, 7]"	"[1, 2, 6, 8]"	"[1, 3, 4, 5]"	"[3, 4, 5, 6]"	"[2, 3, 4, 8]"	"[1, 3, 5, 7]"	"[1, 3, 6, 7]"
6	"barcode_external01_internal03"	"[1, 3, 4, 7]"	"[3, 4, 5, 7]"	"[3, 5, 6, 8]"	"[1, 3, 6, 7]"	"[1, 3, 5, 6]"	"[1, 2, 3, 7]"	"[1, 2, 6, 8]"	"[3, 5, 6, 7]"
6	"barcode_external02_internal03"	"[1, 2, 4, 8]"	"[2, 3, 6, 8]"	"[1, 4, 7, 8]"	"[1, 2, 5, 7]"	"[2, 3, 4, 5]"	"[3, 4, 5, 7]"	"[1, 2, 5, 7]"	"[1, 2, 6, 8]"
6	"barcode_external03_internal03"	"[2, 4, 6, 7]"	"[2, 4, 7, 8]"	"[1, 2, 3, 5]"	"[2, 4, 5, 6]"	"[2, 4, 6, 8]"	"[2, 4, 5, 6]"	"[2, 3, 6, 8]"	"[2, 3, 4, 7]"
6	"barcode_external04_internal03"	"[4, 6, 7, 8]"	"[1, 3, 4, 5]"	"[2, 5, 6, 7]"	"[1, 2, 3, 5]"	"[3, 4, 6, 8]"	"[1, 2, 7, 8]"	"[2, 5, 6, 8]"	"[2, 4, 7, 8]"
6	"barcode_external05_internal03"	"[3, 6, 7, 8]"	"[1, 2, 3, 4]"	"[1, 2, 5, 8]"	"[1, 2, 7, 8]"	"[1, 4, 5, 7]"	"[1, 3, 5, 8]"	"[2, 4, 5, 6]"	"[2, 5, 6, 8]"
6	"barcode_external06_internal03"	"[2, 3, 7, 8]"	"[1, 6, 7, 8]"	"[1, 4, 5, 7]"	"[1, 4, 5, 6]"	"[2, 4, 5, 6]"	"[1, 2, 4, 8]"	"[1, 4, 6, 7]"	"[1, 2, 4, 7]"
6	"barcode_external07_internal03"	"[1, 3, 5, 8]"	"[3, 5, 6, 8]"	"[1, 2, 3, 4]"	"[1, 5, 6, 8]"	"[1, 4, 5, 8]"	"[2, 3, 5, 6]"	"[1, 3, 6, 8]"	"[3, 6, 7, 8]"
6	"barcode_external08_internal03"	"[2, 6, 7, 8]"	"[2, 3, 4, 6]"	"[2, 4, 7, 8]"	"[1, 2, 3, 6]"	"[4, 5, 6, 8]"	"[1, 4, 6, 8]"	"[3, 5, 6, 8]"	"[1, 3, 5, 7]"
6	"barcode_external01_internal04"	"[1, 2, 3, 6]"	"[1, 2, 4, 5]"	"[3, 4, 5, 7]"	"[1, 4, 5, 8]"	"[3, 4, 7, 8]"	"[3, 4, 6, 7]"	"[3, 6, 7, 8]"	"[2, 4, 7, 8]"
6	"barcode_external02_internal04"	"[1, 3, 4, 8]"	"[4, 5, 6, 8]"	"[2, 3, 5, 7]"	"[2, 3, 4, 8]"	"[2, 3, 5, 8]"	"[2, 3, 4, 5]"	"[3, 4, 6, 8]"	"[2, 4, 5, 6]"
6	"barcode_external03_internal04"	"[3, 4, 5, 6]"	"[1, 3, 5, 7]"	"[2, 3, 6, 7]"	"[4, 6, 7, 8]"	"[1, 2, 4, 7]"	"[2, 4, 5, 8]"	"[2, 4, 5, 7]"	"[2, 5, 6, 8]"
6	"barcode_external04_internal04"	"[1, 4, 5, 8]"	"[4, 6, 7, 8]"	"[1, 2, 3, 4]"	"[1, 3, 5, 6]"	"[5, 6, 7, 8]"	"[2, 3, 4, 6]"	"[1, 4, 5, 6]"	"[1, 2, 3, 4]"
6	"barcode_external05_internal04"	"[4, 6, 7, 8]"	"[2, 6, 7, 8]"	"[3, 4, 5, 7]"	"[1, 2, 4, 5]"	"[1, 2, 7, 8]"	"[2, 3, 6, 8]"	"[1, 5, 6, 7]"	"[1, 2, 6, 8]"
6	"barcode_external06_internal04"	"[1, 3, 6, 8]"	"[1, 3, 5, 6]"	"[1, 2, 4, 7]"	"[2, 3, 5, 8]"	"[3, 5, 6, 8]"	"[1, 2, 4, 6]"	"[3, 5, 7, 8]"	"[1, 3, 6, 8]"
6	"barcode_external07_internal04"	"[1, 3, 6, 8]"	"[1, 2, 4, 8]"	"[3, 5, 7, 8]"	"[2, 3, 7, 8]"	"[1, 3, 6, 7]"	"[2, 4, 7, 8]"	"[1, 4, 6, 7]"	"[3, 5, 7, 8]"
6	"barcode_external08_internal04"	"[3, 5, 6, 8]"	"[1, 5, 6, 7]"	"[2, 3, 6, 8]"	"[2, 4, 5, 6]"	"[1, 3, 4, 5]"	"[1, 4, 7, 8]"	"[2, 3, 4, 6]"	"[2, 4, 5, 7]"
