"ONT_Barcode"	"HW_Address"	"Payload1"	"Payload2"	"Payload3"	"Payload4"	"Payload5"	"Payload6"	"Payload7"	"Payload8"
"36"	"barcode_external04_internal01"	"[0,0,0,0]"	"[0,0,0,5]"	"[0,0,4,8]"	"[0,0,0,4]"	"[0,0,1,6]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external05_internal01"	"[0,0,0,5]"	"[0,0,0,0]"	"[0,0,0,2]"	"[0,0,0,1]"	"[0,0,0,0]"	"[0,0,0,3]"	"[0,0,0,3]"	"[0,0,0,4]"
"36"	"barcode_external06_internal01"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external07_internal01"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,2]"	"[0,0,0,1]"	"[0,0,0,2]"	"[0,0,0,0]"
"36"	"barcode_external08_internal01"	"[0,0,0,6]"	"[0,0,0,6]"	"[0,0,1,5]"	"[0,0,0,3]"	"[0,0,0,8]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external01_internal02"	"[0,0,1,6]"	"[0,0,0,3]"	"[0,0,0,3]"	"[0,0,0,5]"	"[0,0,2,8]"	"[0,0,5,8]"	"[0,0,0,0]"	"[0,0,1,3]"
"36"	"barcode_external02_internal02"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external03_internal02"	"[0,0,0,5]"	"[0,0,0,0]"	"[0,0,0,1]"	"[0,0,0,7]"	"[0,0,0,3]"	"[0,0,4,7]"	"[0,0,0,2]"	"[0,0,0,1]"
"36"	"barcode_external04_internal02"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external05_internal02"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
